VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1444,032 010006501444,2025-04-29,08:55:43,,Nueva etiqu.:1444,,,,Yes,4,4d,CABEZA,
1447,032 010006501447,2025-04-29,08:57:34,,Nueva etiqu.:1447,,,,Yes,4,MD,CABEZA,
1448,032 010006501448,2025-04-29,08:58:14,,Nueva etiqu.:1448,,,,Yes,4,4d,CABEZA,
1449,032 010006501449,2025-04-29,08:59:53,,Nueva etiqu.:1449,,,,Yes,4,4d,CABEZA,
1451,032 010006501451,2025-04-29,09:01:18,,Nueva etiqu.:1451,,,,Yes,4,4d,CABEZA,
1452,032 010006501452,2025-04-29,09:01:55,,Nueva etiqu.:1452,,,,Yes,4,4d,CABEZA,
1453,032 010006501453,2025-04-29,09:02:33,,Nueva etiqu.:1453,,,,Yes,4,4d,CABEZA,
1455,032 010006501455,2025-04-29,09:03:36,,Nueva etiqu.:1455,,,,Yes,4,4d,CABEZA,
1457,032 010006501457,2025-04-29,09:06:24,,Nueva etiqu.:1457,,,,Yes,4,4d,CABEZA,
1458,032 010006501458,2025-04-29,09:07:01,,Nueva etiqu.:1458,,,,Yes,4,4d,CABEZA,
1459,032 010006501459,2025-04-29,09:07:31,,Nueva etiqu.:1459,,,,Yes,4,4d,CABEZA,
1462,032 010006501462,2025-04-29,09:14:29,,Nueva etiqu.:1462,,,,Yes,4,4d,CABEZA,
1463,032 010006501463,2025-04-29,09:14:58,,Nueva etiqu.:1463,,,,Yes,4,4d,CABEZA,
1464,032 010006501464,2025-04-29,09:15:24,,Nueva etiqu.:1464,,,,Yes,4,4d,CABEZA,
1465,032 010006501465,2025-04-29,09:16:33,,Nueva etiqu.:1465,,,,Yes,4,4d,CABEZA,
1468,032 010006501468,2025-04-29,09:21:21,,Nueva etiqu.:1468,,,,Yes,4,4d,CABEZA,
1469,032 010006501469,2025-04-29,09:22:16,,Nueva etiqu.:1469,,,,Yes,4,4d,CABEZA,
1471,032 010006501471,2025-04-29,09:23:19,,Nueva etiqu.:1471,,,,Yes,4,4d,CABEZA,
1474,032 010006501474,2025-04-29,09:27:51,,Nueva etiqu.:1474,,,,Yes,4,4d,CABEZA,
1475,032 010006501475,2025-04-29,09:28:51,,Nueva etiqu.:1475,,,,Yes,4,4d,CABEZA,
1477,032 010006501477,2025-04-29,09:30:02,,Nueva etiqu.:1477,,,,Yes,4,4d,CABEZA,
1479,032 010006501479,2025-04-29,09:31:27,,Nueva etiqu.:1479,,,,Yes,5,MD,CABEZA,
1489,032 010006501489,2025-04-29,09:46:58,,Nueva etiqu.:1489,,,,Yes,4,4d,CABEZA,
1490,032 010006501490,2025-04-29,09:47:31,,Nueva etiqu.:1490,,,,Yes,4,4d,CABEZA,
1492,032 010006501492,2025-04-29,09:54:42,,Nueva etiqu.:1492,,,,Yes,4,4d,CABEZA,
1493,032 010006501493,2025-04-29,09:55:27,,Nueva etiqu.:1493,,,,Yes,4,2d,CABEZA,
1494,032 010006501494,2025-04-29,09:56:02,,Nueva etiqu.:1494,,,,Yes,4,4d,CABEZA,
1495,032 010006501495,2025-04-29,09:57:03,,Nueva etiqu.:1495,,,,Yes,4,2d,CABEZA,
1496,032 010006501496,2025-04-29,09:58:18,,Nueva etiqu.:1496,,,,Yes,4,6d,CABEZA,
1500,032 010006501500,2025-04-29,10:04:33,,Nueva etiqu.:1500,,,,Yes,4,4d,CABEZA,
1503,032 010006501503,2025-04-29,10:08:59,,Nueva etiqu.:1503,,,,Yes,4,4d,CABEZA,
