VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,edad,SANGRADO.BRUCEIOSIS,Status
2077,032 010006502077,2025-09-24,10:38:45,,Nueva etiqu.:2077,,,,Yes,4d,Yes,
2078,032 010006502078,2025-09-24,10:39:14,,Nueva etiqu.:2078,,,,Yes,4d,Yes,
2079,032 010006502079,2025-09-24,10:39:39,,Nueva etiqu.:2079,,,,Yes,4d,Yes,
2080,032 010006502080,2025-09-24,10:40:05,,Nueva etiqu.:2080,,,,Yes,4d,Yes,
2081,032 010006502081,2025-09-24,10:40:57,,Nueva etiqu.:2081,,,,Yes,4d,Yes,
2082,032 010006502082,2025-09-24,10:42:10,,Nueva etiqu.:2082,,,,Yes,4d,Yes,
2083,032 010006502083,2025-09-24,10:42:35,,Nueva etiqu.:2083,,,,Yes,4d,Yes,
2084,032 010006502084,2025-09-24,10:45:00,,Nueva etiqu.:2084,,,,Yes,4d,Yes,
2085,032 010006502085,2025-09-24,10:45:30,,Nueva etiqu.:2085,,,,Yes,4d,Yes,
2086,032 010006502086,2025-09-24,10:45:52,,Nueva etiqu.:2086,,,,Yes,4d,Yes,
2087,032 010006502087,2025-09-24,10:46:19,,Nueva etiqu.:2087,,,,Yes,4d,Yes,
2088,032 010006502088,2025-09-24,10:46:49,,Nueva etiqu.:2088,,,,Yes,4d,Yes,
2089,032 010006502089,2025-09-24,10:47:26,,Nueva etiqu.:2089,,,,Yes,4d,Yes,
2090,032 010006502090,2025-09-24,10:49:02,,Nueva etiqu.:2090,,,,Yes,4d,Yes,
2091,032 010006502091,2025-09-24,10:50:55,,Nueva etiqu.:2091,,,,Yes,4d,Yes,
2092,032 010006502092,2025-09-24,10:51:19,,Nueva etiqu.:2092,,,,Yes,4d,Yes,
2093,032 010006502093,2025-09-24,10:51:42,,Nueva etiqu.:2093,,,,Yes,4d,Yes,
2094,032 010006502094,2025-09-24,10:52:12,,Nueva etiqu.:2094,,,,Yes,4d,Yes,
2095,032 010006502095,2025-09-24,10:52:44,,Nueva etiqu.:2095,,,,Yes,4d,Yes,
