VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1276,032 010006501276,2025-04-23,11:23:04,,Nueva etiqu.:1276,,,,Yes,3,bll,CABEZA,
1277,032 010006501277,2025-04-23,11:23:50,,Nueva etiqu.:1277,,,,Yes,4,MD,CABEZA,
1279,032 010006501279,2025-04-23,11:26:27,,Nueva etiqu.:1279,,,,Yes,3,bll,CABEZA,
1280,032 010006501280,2025-04-23,11:27:18,,Nueva etiqu.:1280,,,,Yes,3,MD,cuerpo,
1281,032 010006501281,2025-04-23,11:28:24,,Nueva etiqu.:1281,,,,Yes,4,bll,CABEZA,
1282,032 010006501282,2025-04-23,11:28:54,,Nueva etiqu.:1282,,,,Yes,4,1/4D,CABEZA,
1283,032 010006501283,2025-04-23,11:30:04,,Nueva etiqu.:1283,,,,Yes,4,bll,CABEZA,
1285,032 010006501285,2025-04-23,11:35:09,,Nueva etiqu.:1285,,,,Yes,3,bll,CABEZA,
1286,032 010006501286,2025-04-23,11:36:00,,Nueva etiqu.:1286,,,,Yes,4,1/4D,CABEZA,
1288,032 010006501288,2025-04-23,11:38:19,,Nueva etiqu.:1288,,,,Yes,4,6d,CABEZA,
1290,032 010006501290,2025-04-23,11:39:50,,Nueva etiqu.:1290,,,,Yes,4,bll,CABEZA,
1291,032 010006501291,2025-04-23,11:42:27,,Nueva etiqu.:1291,,,,Yes,4,MD,CABEZA,
1292,032 010006501292,2025-04-23,11:43:03,,Nueva etiqu.:1292,,,,Yes,4,bll,CABEZA,
1293,032 010006501293,2025-04-23,11:43:37,,Nueva etiqu.:1293,,,,Yes,4,bll,cuerpo,
1294,032 010006501294,2025-04-23,11:44:38,,Nueva etiqu.:1294,,,,Yes,3,MD,CABEZA,
1295,032 010006501295,2025-04-23,11:49:50,,Nueva etiqu.:1295,,,,Yes,4,bll,cuerpo,
1296,032 010006501296,2025-04-23,11:50:26,,Nueva etiqu.:1296,,,,Yes,4,MD,CABEZA,
1297,032 010006501297,2025-04-23,11:51:07,,Nueva etiqu.:1297,,,,Yes,4,bll,CABEZA,
1298,032 010006501298,2025-04-23,11:51:58,,Nueva etiqu.:1298,,,,Yes,3,MD,CABEZA,
1300,032 010006501300,2025-04-23,11:53:49,,Nueva etiqu.:1300,,,,Yes,4,MD,CABEZA,
1303,032 010006501303,2025-04-23,12:01:56,,Nueva etiqu.:1303,,,,Yes,3,bll,cuerpo,
1305,032 010006501305,2025-04-23,12:03:42,,Nueva etiqu.:1305,,,,Yes,4,MD,CABEZA,
1306,032 010006501306,2025-04-23,12:04:29,,Nueva etiqu.:1306,,,,Yes,3,bll,CABEZA,
1307,032 010006501307,2025-04-23,12:05:51,,Nueva etiqu.:1307,,,,Yes,4,bll,CABEZA,
1310,032 010006501310,2025-04-23,12:12:33,,Nueva etiqu.:1310,,,,Yes,3,MD,CABEZA,
1312,032 010006501312,2025-04-23,12:15:04,,Nueva etiqu.:1312,,,,Yes,3,bll,cuerpo,
1313,032 010006501313,2025-04-23,12:15:48,,Nueva etiqu.:1313,,,,Yes,3,MD,CABEZA,
1314,032 010006501314,2025-04-23,12:16:57,,Nueva etiqu.:1314,,,,Yes,4,bll,CABEZA,
1315,032 010006501315,2025-04-23,12:18:52,,Nueva etiqu.:1315,,,,Yes,4,bll,CABEZA,
1316,032 010006501316,2025-04-23,12:19:54,,Nueva etiqu.:1316,,,,Yes,4,MD,CABEZA,
1317,032 010006501317,2025-04-23,12:28:16,,Nueva etiqu.:1317,,,,Yes,4,bll,cuerpo,
1318,032 010006501318,2025-04-23,12:29:23,,Nueva etiqu.:1318,,,,Yes,3,bll,CABEZA,
1319,032 010006501319,2025-04-23,12:30:05,,Nueva etiqu.:1319,,,,Yes,4,MD,cuerpo,
1320,032 010006501320,2025-04-23,12:31:04,,Nueva etiqu.:1320,,,,Yes,4,bll,CABEZA,
1321,032 010006501321,2025-04-23,12:32:19,,Nueva etiqu.:1321,,,,Yes,3,1/4D,cuerpo,
1323,032 010006501323,2025-04-23,12:34:13,,Nueva etiqu.:1323,,,,Yes,4,bll,CABEZA,
1324,032 010006501324,2025-04-23,12:37:31,,Nueva etiqu.:1324,,,,Yes,4,bll,CABEZA,
1325,032 010006501325,2025-04-23,12:38:17,,Nueva etiqu.:1325,,,,Yes,3,MD,CABEZA,
1327,032 010006501327,2025-04-23,12:41:01,,Nueva etiqu.:1327,,,,Yes,4,bll,CABEZA,
1328,032 010006501328,2025-04-23,12:42:55,,Nueva etiqu.:1328,,,,Yes,4,MD,CABEZA,
1329,032 010006501329,2025-04-23,12:45:19,,Nueva etiqu.:1329,,,,Yes,3,MD,CABEZA,
1330,032 010006501330,2025-04-23,12:46:34,,Nueva etiqu.:1330,,,,Yes,3,bll,cuerpo,
1331,032 010006501331,2025-04-23,12:47:41,,Nueva etiqu.:1331,,,,Yes,4,bll,CABEZA,
1333,032 010006501333,2025-04-23,12:49:39,,Nueva etiqu.:1333,,,,Yes,4,MD,CABEZA,
1335,032 010006501335,2025-04-23,12:54:37,,Nueva etiqu.:1335,,,,Yes,3,MD,CABEZA,
1336,032 010006501336,2025-04-23,12:57:57,,Nueva etiqu.:1336,,,,Yes,5,1/4D,CABEZA,
1338,032 010006501338,2025-04-23,12:59:46,,Nueva etiqu.:1338,,,,Yes,4,bll,cuerpo,
1340,032 010006501340,2025-04-23,13:01:18,,Nueva etiqu.:1340,,,,Yes,4,1/4D,CABEZA,
1341,032 010006501341,2025-04-23,13:06:27,,Nueva etiqu.:1341,,,,Yes,4,bll,cuerpo,
1342,032 010006501342,2025-04-23,13:09:29,,Nueva etiqu.:1342,,,,Yes,3,bll,cuerpo,
1343,032 010006501343,2025-04-23,13:10:34,,Nueva etiqu.:1343,,,,Yes,3,bll,cuerpo,
1344,032 010006501344,2025-04-23,13:11:23,,Nueva etiqu.:1344,,,,Yes,3,bll,cuerpo,
1345,032 010006501345,2025-04-23,13:12:29,,Nueva etiqu.:1345,,,,Yes,4,bll,CABEZA,
1346,032 010006501346,2025-04-23,13:13:33,,Nueva etiqu.:1346,,,,Yes,3,bll,cuerpo,
1348,032 010006501348,2025-04-23,13:16:16,,Nueva etiqu.:1348,,,,Yes,3,MD,CABEZA,
1349,032 010006501349,2025-04-23,13:18:19,,Nueva etiqu.:1349,,,,Yes,3,bll,cuerpo,
1350,032 010006501350,2025-04-23,13:19:33,,Nueva etiqu.:1350,,,,Yes,4,MD,CABEZA,
1351,032 010006501351,2025-04-23,13:20:06,,Nueva etiqu.:1351,,,,Yes,3,bll,cuerpo,
1353,032 010006501353,2025-04-23,13:23:00,,Nueva etiqu.:1353,,,,Yes,4,MD,CABEZA,
1354,032 010006501354,2025-04-23,13:26:29,,Nueva etiqu.:1354,,,,Yes,3,bll,cuerpo,
1355,032 010006501355,2025-04-23,13:27:09,,Nueva etiqu.:1355,,,,Yes,3,bll,cuerpo,
1356,032 010006501356,2025-04-23,13:27:43,,Nueva etiqu.:1356,,,,Yes,4,1/4D,cuerpo,
1357,032 010006501357,2025-04-23,13:28:37,,Nueva etiqu.:1357,,,,Yes,5,bll,CABEZA,
1359,032 010006501359,2025-04-23,13:31:25,,Nueva etiqu.:1359,,,,Yes,3,bll,cuerpo,
1360,032 010006501360,2025-04-23,13:32:52,,Nueva etiqu.:1360,,,,Yes,3,1/4D,cola,
1361,032 010006501361,2025-04-23,13:33:45,,Nueva etiqu.:1361,,,,Yes,4,MD,CABEZA,
1362,032 010006501362,2025-04-23,13:36:45,,Nueva etiqu.:1362,,,,Yes,4,MD,CABEZA,
1364,032 010006501364,2025-04-23,13:38:17,,Nueva etiqu.:1364,,,,Yes,4,bll,CABEZA,
1365,032 010006501365,2025-04-23,13:40:07,,Nueva etiqu.:1365,,,,Yes,4,MD,CABEZA,
1366,032 010006501366,2025-04-23,13:40:43,,Nueva etiqu.:1366,,,,Yes,3,bll,cuerpo,
1369,032 010006501369,2025-04-23,13:50:56,,Nueva etiqu.:1369,,,,Yes,3,bll,CABEZA,
1371,032 010006501371,2025-04-23,13:53:38,,Nueva etiqu.:1371,,,,Yes,3,bll,cuerpo,
1372,032 010006501372,2025-04-23,13:55:42,,Nueva etiqu.:1372,,,,Yes,3,MD,cuerpo,
1373,032 010006501373,2025-04-23,13:56:13,,Nueva etiqu.:1373,,,,Yes,3,MD,CABEZA,
1376,032 010006501376,2025-04-23,14:02:25,,Nueva etiqu.:1376,,,,Yes,4,MD,cuerpo,
